origin_id,origin_name,destination_id,destination_name,distance
0,Paris,0,Paris,1
0,Paris,1,Amsterdam,507
0,Paris,2,Munich,842
0,Paris,3,London,470
0,Paris,4,Madrid,1275
0,Paris,5,Florence,1163
0,Paris,6,Vienna,1235
0,Paris,7,Lisbon,1737
0,Paris,8,Budapest,1484
0,Paris,9,Barcelona,1036
0,Paris,10,Rome,1423
0,Paris,11,Zurich,656
0,Paris,12,Prague,1031
0,Paris,13,Berlin,1056
0,Paris,14,Dublin,1072
0,Paris,15,Milan,851
0,Paris,16,Brussels,314
1,Amsterdam,0,Paris,508
1,Amsterdam,1,Amsterdam,1
1,Amsterdam,2,Munich,828
1,Amsterdam,3,London,540
1,Amsterdam,4,Madrid,1773
1,Amsterdam,5,Florence,1394
1,Amsterdam,6,Vienna,1149
1,Amsterdam,7,Lisbon,2235
1,Amsterdam,8,Budapest,1399
1,Amsterdam,9,Barcelona,1534
1,Amsterdam,10,Rome,1654
1,Amsterdam,11,Zurich,818
1,Amsterdam,12,Prague,882
1,Amsterdam,13,Berlin,663
1,Amsterdam,14,Dublin,961
1,Amsterdam,15,Milan,1079
1,Amsterdam,16,Brussels,211
2,Munich,0,Paris,840
2,Munich,1,Amsterdam,839
2,Munich,2,Munich,1
2,Munich,3,London,1146
2,Munich,4,Madrid,1977
2,Munich,5,Florence,657
2,Munich,6,Vienna,401
2,Munich,7,Lisbon,2442
2,Munich,8,Budapest,651
2,Munich,9,Barcelona,1373
2,Munich,10,Rome,917
2,Munich,11,Zurich,316
2,Munich,12,Prague,381
2,Munich,13,Berlin,587
2,Munich,14,Dublin,1734
2,Munich,15,Milan,495
2,Munich,16,Brussels,740
3,London,0,Paris,461
3,London,1,Amsterdam,535
3,London,2,Munich,114
3,London,3,London,1
3,London,4,Madrid,1721
3,London,5,Florence,1609
3,London,6,Vienna,1484
3,London,7,Lisbon,2183
3,London,8,Budapest,1734
3,London,9,Barcelona,1491
3,London,10,Rome,1869
3,London,11,Zurich,1002
3,London,12,Prague,1267
3,London,13,Berlin,1114
3,London,14,Dublin,595
3,London,15,Milan,127
3,London,16,Brussels,380
4,Madrid,0,Paris,1276
4,Madrid,1,Amsterdam,1772
4,Madrid,2,Munich,1972
4,Madrid,3,London,1727
4,Madrid,4,Madrid,1
4,Madrid,5,Florence,17
4,Madrid,6,Vienna,2402
4,Madrid,7,Lisbon,625
4,Madrid,8,Budapest,2524
4,Madrid,9,Barcelona,626
4,Madrid,10,Rome,196
4,Madrid,11,Zurich,1664
4,Madrid,12,Prague,224
4,Madrid,13,Berlin,2322
4,Madrid,14,Dublin,2314
4,Madrid,15,Milan,1582
4,Madrid,16,Brussels,1579
5,Florence,0,Paris,1152
5,Florence,1,Amsterdam,1377
5,Florence,2,Munich,645
5,Florence,3,London,1604
5,Florence,4,Madrid,1693
5,Florence,5,Florence,1
5,Florence,6,Vienna,850
5,Florence,7,Lisbon,2243
5,Florence,8,Budapest,945
5,Florence,9,Barcelona,1089
5,Florence,10,Rome,275
5,Florence,11,Zurich,584
5,Florence,12,Prague,1029
5,Florence,13,Berlin,1235
5,Florence,14,Dublin,2207
5,Florence,15,Milan,303
5,Florence,16,Brussels,1203
6,Vienna,0,Paris,1235
6,Vienna,1,Amsterdam,1161
6,Vienna,2,Munich,402
6,Vienna,3,London,1476
6,Vienna,4,Madrid,2385
6,Vienna,5,Florence,861
6,Vienna,6,Vienna,1
6,Vienna,7,Lisbon,285
6,Vienna,8,Budapest,245
6,Vienna,9,Barcelona,1781
6,Vienna,10,Rome,1121
6,Vienna,11,Zurich,724
6,Vienna,12,Prague,335
6,Vienna,13,Berlin,685
6,Vienna,14,Dublin,2078
6,Vienna,15,Milan,872
6,Vienna,16,Brussels,1103
7,Lisbon,0,Paris,1737
7,Lisbon,1,Amsterdam,2233
7,Lisbon,2,Munich,2428
7,Lisbon,3,London,2188
7,Lisbon,4,Madrid,625
7,Lisbon,5,Florence,2256
7,Lisbon,6,Vienna,2861
7,Lisbon,7,Lisbon,1
7,Lisbon,8,Budapest,3079
7,Lisbon,9,Barcelona,1245
7,Lisbon,10,Rome,2516
7,Lisbon,11,Zurich,2121
7,Lisbon,12,Prague,2701
7,Lisbon,13,Berlin,2783
7,Lisbon,14,Dublin,2791
7,Lisbon,15,Milan,2137
7,Lisbon,16,Brussels,204
8,Budapest,0,Paris,1485
8,Budapest,1,Amsterdam,1403
8,Budapest,2,Munich,652
8,Budapest,3,London,1726
8,Budapest,4,Madrid,2527
8,Budapest,5,Florence,956
8,Budapest,6,Vienna,244
8,Budapest,7,Lisbon,3077
8,Budapest,8,Budapest,1
8,Budapest,9,Barcelona,1923
8,Budapest,10,Rome,1216
8,Budapest,11,Zurich,974
8,Budapest,12,Prague,525
8,Budapest,13,Berlin,876
8,Budapest,14,Dublin,2328
8,Budapest,15,Milan,967
8,Budapest,16,Brussels,1353
9,Barcelona,0,Paris,1036
9,Barcelona,1,Amsterdam,1532
9,Barcelona,2,Munich,1368
9,Barcelona,3,London,1497
9,Barcelona,4,Madrid,623
9,Barcelona,5,Florence,1097
9,Barcelona,6,Vienna,1799
9,Barcelona,7,Lisbon,1243
9,Barcelona,8,Budapest,192
9,Barcelona,9,Barcelona,1
9,Barcelona,10,Rome,1357
9,Barcelona,11,Zurich,1061
9,Barcelona,12,Prague,1715
9,Barcelona,13,Berlin,1867
9,Barcelona,14,Dublin,21
9,Barcelona,15,Milan,978
9,Barcelona,16,Brussels,1339
10,Rome,0,Paris,1426
10,Rome,1,Amsterdam,1651
10,Rome,2,Munich,919
10,Rome,3,London,1878
10,Rome,4,Madrid,1946
10,Rome,5,Florence,275
10,Rome,6,Vienna,1124
10,Rome,7,Lisbon,2496
10,Rome,8,Budapest,1218
10,Rome,9,Barcelona,1342
10,Rome,10,Rome,1
10,Rome,11,Zurich,858
10,Rome,12,Prague,1303
10,Rome,13,Berlin,1509
10,Rome,14,Dublin,2428
10,Rome,15,Milan,577
10,Rome,16,Brussels,1477
11,Zurich,0,Paris,655
11,Zurich,1,Amsterdam,819
11,Zurich,2,Munich,311
11,Zurich,3,London,1008
11,Zurich,4,Madrid,1664
11,Zurich,5,Florence,595
11,Zurich,6,Vienna,742
11,Zurich,7,Lisbon,213
11,Zurich,8,Budapest,991
11,Zurich,9,Barcelona,1061
11,Zurich,10,Rome,855
11,Zurich,11,Zurich,1
11,Zurich,12,Prague,684
11,Zurich,13,Berlin,846
11,Zurich,14,Dublin,1611
11,Zurich,15,Milan,280
11,Zurich,16,Brussels,645
12,Prague,0,Paris,103
12,Prague,1,Amsterdam,879
12,Prague,2,Munich,382
12,Prague,3,London,1271
12,Prague,4,Madrid,2242
12,Prague,5,Florence,1041
12,Prague,6,Vienna,334
12,Prague,7,Lisbon,2704
12,Prague,8,Budapest,525
12,Prague,9,Barcelona,1715
12,Prague,10,Rome,1301
12,Prague,11,Zurich,688
12,Prague,12,Prague,1
12,Prague,13,Berlin,352
12,Prague,14,Dublin,1874
12,Prague,15,Milan,867
12,Prague,16,Brussels,899
13,Berlin,0,Paris,1055
13,Berlin,1,Amsterdam,655
13,Berlin,2,Munich,585
13,Berlin,3,London,11
13,Berlin,4,Madrid,232
13,Berlin,5,Florence,1244
13,Berlin,6,Vienna,682
13,Berlin,7,Lisbon,2782
13,Berlin,8,Budapest,872
13,Berlin,9,Barcelona,1868
13,Berlin,10,Rome,1504
13,Berlin,11,Zurich,840
13,Berlin,12,Prague,350
13,Berlin,13,Berlin,1
13,Berlin,14,Dublin,1703
13,Berlin,15,Milan,1035
13,Berlin,16,Brussels,756
14,Dublin,0,Paris,1072
14,Dublin,1,Amsterdam,1146
14,Dublin,2,Munich,1751
14,Dublin,3,London,597
14,Dublin,4,Madrid,2331
14,Dublin,5,Florence,222
14,Dublin,6,Vienna,2081
14,Dublin,7,Lisbon,2793
14,Dublin,8,Budapest,2331
14,Dublin,9,Barcelona,2102
14,Dublin,10,Rome,2464
14,Dublin,11,Zurich,1613
14,Dublin,12,Prague,1877
14,Dublin,13,Berlin,1695
14,Dublin,14,Dublin,1
14,Dublin,15,Milan,1867
14,Dublin,16,Brussels,976
15,Milan,0,Paris,852
15,Milan,1,Amsterdam,1074
15,Milan,2,Munich,495
15,Milan,3,London,1304
15,Milan,4,Madrid,1585
15,Milan,5,Florence,316
15,Milan,6,Vienna,865
15,Milan,7,Lisbon,2135
15,Milan,8,Budapest,959
15,Milan,9,Barcelona,981
15,Milan,10,Rome,576
15,Milan,11,Zurich,281
15,Milan,12,Prague,868
15,Milan,13,Berlin,1038
15,Milan,14,Dublin,1851
15,Milan,15,Milan,1
15,Milan,16,Brussels,901
16,Brussels,0,Paris,314
16,Brussels,1,Amsterdam,210
16,Brussels,2,Munich,782
16,Brussels,3,London,373
16,Brussels,4,Madrid,1579
16,Brussels,5,Florence,1215
16,Brussels,6,Vienna,1103
16,Brussels,7,Lisbon,2041
16,Brussels,8,Budapest,1353
16,Brussels,9,Barcelona,134
16,Brussels,10,Rome,1475
16,Brussels,11,Zurich,646
16,Brussels,12,Prague,900
16,Brussels,13,Berlin,759
16,Brussels,14,Dublin,960
16,Brussels,15,Milan,900
16,Brussels,16,Brussels,1
